index,school,name,team,citystate,type,subdivision,conference,profile_url,logo,football_stadium,baseball_stadium,basketball_stadium,softball_stadium,soccer_stadium,volleyball_stadium,ice_hockey_stadium,other_stadiums,color_hex
Alabama Agricultural and Mechanical University,Alabama A&M,Bulldogs[h],Normal,AL,Public,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Alabama_A%26M_Bulldogs_and_Lady_Bulldogs,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/Alabama_a%26m_bulldog_logo.png/250px-Alabama_a%26m_bulldog_logo.png,Louis Crews Stadium,Bulldog Baseball Field,Alabama A&M Events Center,Bulldog Softball Field,,T.M. Elmore Gym,,,"['#FFFFFF', '#660000']"
Alabama State University,Alabama State,Hornets[i],Montgomery,AL,Public,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Alabama_State_Hornets_and_Lady_Hornets,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Alabama_State_Hornets_logo.svg/250px-Alabama_State_Hornets_logo.svg.png,ASU Stadium,Wheeler-Watkins Baseball Complex,Dunn-Oliver Acadome[1],Barbara Williams Softball Complex,,Lockhart Gymnasium,,,"['#C99700', '#000000']"
Alcorn State University,Alcorn State,Braves[j],Lorman[L 1],MS,Public,FCS,Southwestern Athletic Conference,https://en.wikipedia.org/wiki/Alcorn_State_Braves_and_Lady_Braves,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Alcorn_State_athletics_logo.svg/250px-Alcorn_State_athletics_logo.svg.png,Spinks-Casem Stadium,Foster Baseball Field at McGowan Stadium,Davey Whitney Complex,Turner Lake Softball Complex,,Davey Whitney Complex,,,"['#512D6D', '#CC8A00']"
American University,American,Eagles,Washington,DC,Private,Non-football,Patriot League,https://en.wikipedia.org/wiki/American_Eagles,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/American_Eagles_logo.svg/250px-American_Eagles_logo.svg.png,,,Bender Arena,,Reeves Field and Greenberg Track,Bender Arena,,,"['#005099', '#C4122E', '#FFFFFF']"
Appalachian State University,Appalachian State,Mountaineers,Boone,NC,Public,FBS,Sun Belt Conference,https://en.wikipedia.org/wiki/Appalachian_State_Mountaineers,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/250px-Appalachian_State_Mountaineers_logo.svg.png,Kidd Brewer Stadium,Jim and Bettie Smith Stadium,Holmes Center,Sywassink/Lloyd Family Stadium,ASU Soccer Stadium,,,,"['#222222', '#FFCC00']"
Arizona State University,Arizona State,Sun Devils,Tempe[L 2],AZ,Public,FBS,Big 12 Conference,https://en.wikipedia.org/wiki/Arizona_State_Sun_Devils,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Arizona_State_Sun_Devils_logo.svg/120px-Arizona_State_Sun_Devils_logo.svg.png,Mountain America Stadium,Phoenix Municipal Stadium,Desert Financial Arena,,,,Mullett Arena,,"['#7D2248', '#FFC72C']"
Arkansas State University,Arkansas State,Red Wolves,Jonesboro,AR,Public,FBS,Sun Belt Conference,https://en.wikipedia.org/wiki/Arkansas_State_Red_Wolves,https://upload.wikimedia.org/wikipedia/en/thumb/3/36/Arkansas_State_Red_Wolves_logo.svg/250px-Arkansas_State_Red_Wolves_logo.svg.png,Centennial Bank Stadium,Tomlinson Stadium–Kell Field,First National Bank Arena,,,,,,"['#CC092F', '#000000']"
Auburn University,Auburn,Tigers,Auburn,AL,Public,FBS,Southeastern Conference,https://en.wikipedia.org/wiki/Auburn_Tigers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Auburn_Tigers_logo.svg/250px-Auburn_Tigers_logo.svg.png,Jordan-Hare Stadium,Plainsman Park,Neville Arena,Jane B. Moore Field,,Neville Arena,,,"['#F26522', '#03244d']"
Austin Peay State University,Austin Peay,Governors,Clarksville,TN,Public,FCS,Atlantic Sun Conference[FB 1][C 2],https://en.wikipedia.org/wiki/Austin_Peay_Governors,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/Austin_Peay_Governors_logo.svg/250px-Austin_Peay_Governors_logo.svg.png,Fortera Stadium,Raymond C. Hand Park,F&M Bank Arena,Cathi Maynard Park,Morgan Bros. Field,,,,"['#C41E3A', '#FFFFFF']"
Ball State University,Ball State,Cardinals,Muncie,IN,Public,FBS,Mid-American Conference,https://en.wikipedia.org/wiki/Ball_State_Cardinals,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Ball_State_Cardinals_logo.svg/250px-Ball_State_Cardinals_logo.svg.png,Scheumann Stadium,Ball Diamond,Worthen Arena,,,,,,"['#BA0C2F', '#FFFFFF']"
