col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,photo_url,jersey_number,hometown,nationality,nba_status
Shon Abaev,F,6-8,195,Cincinnati,Fr,"Feb 26, 2006",Clearwater (FL),Calvary Christian Academy,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abaev_Shon_cin25.jpg,10.0,"Clearwater, Florida",United States,Draft Eligible in 2029
Jax Abalos,F,6-8,200,Cornell,Fr,-,Batavia (IL),Batavia High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abalos_Jax_cor2.jpg,3.0,"Batavia, Illinois",United States,Draft Eligible in 2029
Churchill Abass,C,6-10,260,New Orleans,Jr,"Aug 21, 2004",Benin City,NBA Academy Africa,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abass_Churchill_dep23.jpg,9.0,"Benin City, Nigeria",Nigeria,Draft Eligible in 2027
Obomate Abbey,PG,6-0,194,Utah,Fr,"May 24, 2006",Jyvaskyla,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abbey_Obomate_ut25.jpg,21.0,"Jyvaskyla, Finland",Finland,Draft Eligible in 2029
Zak Abdalla,G,6-2,180,Detroit-Mercy,Fr,-,Las Vegas (NV),Trinity International School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abdalla_Zak_det25.jpg,25.0,"Las Vegas, Nevada",United States,Draft Eligible in 2029
Malek Abdelgowad,C,6-10,220,Southern,Sr,-,Cairo,N/A,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abdelgowad_Malek_mur23.jpg,8.0,"Cairo, Egypt",Egypt,Draft Eligible in 2026
Hassan Abdul-Hakim,PG,6-8,206,Memphis,Sr,-,Mississauga (ON),Athlete Institute Prep,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abdulhkim_Hassan_utrgv23.jpg,14.0,"Mississauga, Canada",Canada,Draft Eligible in 2026
Azmar Abdullah,G,6-3,180,Boston University,So,-,Warwick (RI),Bishop Hendricken High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abdullah_Azmar_bu24.jpg,7.0,"Warwick, Rhode Island",United States,Draft Eligible in 2028
Malik Abdullahi,F,6-7,207,Princeton,So,-,Miami (FL),Columbus High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abdullahi_Malik_prin24.jpg,7.0,"Miami, Florida",United States,Draft Eligible in 2028
Bilal Abdur-Rahman,G,5-11,160,Alabama A&M,So,-,Atlanta (GA),Norcross High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abdurrahman_Bilal_aam23.jpg,2.0,"Atlanta, Georgia",United States,Draft Eligible in 2028
Lorenzo Abellar,G,5-10,160,Southern Utah,Sr,-,Henderson (NV),Liberty High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abellar_Lorenzo_suu24.jpg,4.0,"Henderson, Nevada",United States,Draft Eligible in 2026
Ryan Abelman,G,6-4,200,Northern Arizona,Jr,-,Las Vegas (NV),Bishop Gorman High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abelman_Ryan_nau22.jpg,11.0,"Las Vegas, Nevada",United States,Draft Eligible in 2027
Denzel Aberdeen,G,6-5,190,Kentucky,Sr,"Dec 26, 2003",Orlando (FL),Dr. Phillips High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Aberdeen_Denzel_fl22.jpg,1.0,"Orlando, Florida",United States,Draft Eligible in 2026
Isaac Abidde,F,6-9,215,Albany,Sr,"Apr 10, 2003",Albany (GA),Westover High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abidde_Isaac_wsu21.jpg,5.0,"Albany, Georgia",United States,Draft Eligible in 2026
Mason Abittan,F,6-6,185,UNLV,Fr,-,Henderson (NV),Coronado High School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Abittan_Mason_unlv25.jpg,8.0,"Henderson, Nevada",United States,Draft Eligible in 2029
Matthew Able,GF,6-5,190,NC State,Fr,"Jul 12, 2007",Sarasota (FL),Sagemont School,https://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Able_Kevin_ncst25.jpg,3.0,"Sarasota, Florida",United States,Draft Eligible in 2029
